"ID","Title","Description","Epic","Type","Status","Priority","Owner","Effort","Depends on","Source"
"MAR-32","Rehearse the Taryn demo path (W52)","Login as a client, dashboard with Wink-shaped outputs, one short session interaction, upload, report refresh. Rehearsed before the regroup.","Client interface","Verification","Not started","P2","Alex","S","MAR-28","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-33","Ops units and deploy runbook","systemd units for the web app and cloudflared with Restart=always and journald; API key fetched from Secrets Manager at start, never written to disk. Deploy is git pull plus restart — documented, not automated.","Client interface","Build","Not started","P2","Alex","S","MAR-25","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-34","Decide client interface scope","Full custom UI versus a thinner approvals surface. Shapes the largest phase; Cowork used to provide this surface.","Client interface","Decision","Open","P1","Brig+Alex","S","","marketingskills/docs/mariella-handover.md 14"
"MAR-35","Add the join table to the audit template","A per-asset table (content asset, channel, conversion type, outcome, join_basis) as section 1 of the audit, ahead of the qualitative narrative. Requires deciding the repeating-row mechanism, since the template has no loop construct.","Engine (product)","Build","Not started","P1","Alex","M","","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-36","Add the CONVERSION_OUTCOMES capability","HubSpot as the only provider; the join key is EDM click recipient email to HubSpot contact to associated deals; HubSpot form identity discriminates client-enquiry from talent-application. No provider means the capability is unavailable, not silently degraded to engagement metrics.","Engine (product)","Build","Not started","P1","Alex","M","MAR-35","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-37","Rework the audit scope and the refusal path","No CRM connection is a refusal, not a downgrade: the audit still covers site, SEO and competitive position but will not report engagement metrics as performance findings. Includes an anti-restatement rule against presenting metrics the client can already read natively.","Engine (product)","Build","Not started","P1","Alex","M","MAR-36","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-38","Client-side monthly report parity","Apply the same join-first treatment to the client engine's visual report stage, kept in engines/stages/ and fetched on demand so the per-turn size cut holds.","Engine (product)","Build","Not started","P2","Alex","S","MAR-37","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-39","Verify the refusal actually fires","Run a consultant pass with no CRM connected: if it produces a conventional audit anyway, the instruction lost to the surrounding 4,000 lines and placement must be strengthened. Then a run with a CRM to confirm the join table renders.","Engine (product)","Verification","Not started","P1","Alex","S","MAR-37","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-40","Re-run the placeholder parity check and re-upload the engines","Assemble both engines, re-run the 99/99 template-to-engine placeholder parity check, upload to the Files API (immutable, mints new IDs), update both engine_file_ids and bump both agent versions in the lock and the YAML specs.","Engine (product)","Build","Not started","P1","Alex","S","MAR-39","tg-context/projects/mariella/plans/2026-07-29-mariella-engine-taryn-feedback.md"
"MAR-41","Verify skill-fetch pinning","The skill CDN reference must be a pinned ref, not a moving branch. Flagged as an open risk; confirm whether it was ever completed.","Engine (product)","Build","Open","P2","Brig","S","","marketingskills/docs/mariella-handover.md 5"
"MAR-42","Reconcile drift between the two engine layers","build/drift-report.md exists; the reconciliation has not been done.","Engine (product)","Build","Not started","P3","Brig","S","","marketingskills/docs/mariella-handover.md 10"
"MAR-43","Decide engine delivery hardening","Whether to split into a lean sub-100K core system prompt plus stage playbooks as on-demand CMA skills, replacing the mounted-file approach.","Engine (product)","Decision","Open","P2","Brig","M","","marketingskills/docs/mariella-handover.md 14"
"MAR-44","Cadence via CMA scheduled deployments","Convert the weekly/monthly cadence to cron-fired sessions that start autonomously; retire the in-prompt token-expiry check once Vault refresh covers it.","Cadence automation","Build","Not started","P2","Unassigned","S","MAR-21","marketingskills/docs/build-plan.md Phase 5"
"MAR-45","Export session capability records to the warehouse","Tenant-tagged export of the engine's normalised DATA SOURCE RESOLUTION records, which are already tool-agnostic and source-tagged.","Benchmark warehouse","Build","Not started","P3","Unassigned","M","","marketingskills/docs/build-plan.md Phase 6"
"MAR-46","Ingestion exclusion filters","Provably drop excluded record types at ingestion: no secrets, no CRM/audience/email records, no named individuals. Company-level only.","Benchmark warehouse","Build","Not started","P3","Unassigned","S","MAR-45","marketingskills/docs/build-plan.md Phase 6"
"MAR-47","k-anonymity query layer","Minimum cohort N of 5 to 10 with small-cell suppression for benchmark reports; re-identification is the top risk given a niche B2B client base.","Benchmark warehouse","Build","Not started","P3","Unassigned","M","MAR-46","marketingskills/docs/build-plan.md Phase 6"
"MAR-48","Benchmark priors as an engine input","Feed cross-client benchmarks back into PLAN. Must be true first: 3 to 5 clients live.","Benchmark warehouse","Build","Not started","P3","Unassigned","M","MAR-47","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-49","CMA running-cost view (W45)","No cost view exists; the model was chosen on feel. This blocks the pricing decision and everything downstream of it.","Pricing & commercial","Commercial","Blocked","P1","Alex","M","","dev/WORKLIST.md; tg-context/projects/mariella/plans/2026-07-27-mariella-orchestrator-server-deploy.md Task 5"
"MAR-50","Per-run metering to usage.jsonl","After harvest, append tenant, layer, session id, tokens, estimated cost and timestamp to tenant/<id>/usage.jsonl in S3 — real numbers to feed the pricing work.","Pricing & commercial","Build","Not started","P1","Alex","S","MAR-12","tg-context/projects/mariella/plans/2026-07-29-mariella-client-web-front.md"
"MAR-51","Finalise pricing","Subscription, 13-month contract at the 12-month price, API cost bundled to a credit allowance, overage invoiced next month with a 90% alert and no hard stop. Escalated as critical; blocked on the cost view.","Pricing & commercial","Commercial","Blocked","P1","Brig","M","MAR-49","dev/WORKLIST.md"
"MAR-52","Reconcile EC2 framing to CMA across all collateral","Nearly every pricing and meeting artefact still says EC2 or server hosting; that framing was superseded on 22 Jul. Reconcile everywhere pricing touches.","Pricing & commercial","Docs","Not started","P1","Brig","M","","dev/WORKLIST.md; tg-context/delivery-standards/DECISIONS.md"
"MAR-53","Sales collateral actions","Resend the sales folder, post the recording with sensitive parts stripped, write user docs, produce a demo video.","Pricing & commercial","Commercial","Not started","P2","Brig","S","MAR-52","dev/WORKLIST.md"
"MAR-54","Effort tuning on mechanical sessions","Drive cost per turn down by lowering reasoning effort on mechanical stages. Also revisit the model choice — the revert to Opus 4.8 at xhigh is materially more expensive per run and was flagged as worth reconsidering before cadence runs.","Pricing & commercial","Build","Not started","P1","Unassigned","S","MAR-50","ai-product-strategy/06-the-pitch/roadmap.md; W67 plan Phase 6"
"MAR-55","Engineer prompt caching","Named as load-bearing for the margin case; the ~75-80% figure depends on it.","Pricing & commercial","Build","Not started","P1","Unassigned","M","","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-56","Eval harness","Nothing currently scores output quality.","Trust, eval & guardrails","Build","Not started","P1","Unassigned","M","","marketingskills/docs/mariella-handover.md 10"
"MAR-57","Eval dashboard v1 to the beta","A screen-shareable view of eval results for the beta client.","Trust, eval & guardrails","Build","Not started","P2","Unassigned","S","MAR-56","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-58","Per-stage model field","A declared model per stage as a swap seam, so a model change is configuration rather than a rewrite. Moves portability off Locked.","Trust, eval & guardrails","Build","Not started","P2","Unassigned","S","","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-59","Pre-pilot security review","Confirm every credentialed integration goes through MCP/Vaults with no token in any tool argument; review prompt and log surfaces.","Trust, eval & guardrails","Governance","Not started","P1","Unassigned","M","MAR-17","marketingskills/docs/build-plan.md Phase 7"
"MAR-60","DPA, benchmark opt-in and deletion path","Anthropic listed as a sub-processor; B2B commercial opt-in at onboarding plus an MSA data-use clause; a deletion and withdrawal path.","Trust, eval & guardrails","Governance","Not started","P1","Unassigned","M","","marketingskills/docs/build-plan.md Phase 7"
"MAR-61","Monitoring, alerting and store backup/restore","Instance status alarm, plus a tested backup and restore path for the durable store.","Trust, eval & guardrails","Build","Not started","P2","Unassigned","S","MAR-9","marketingskills/docs/build-plan.md Phase 7"
"MAR-62","Self-hosted-sandbox escape-hatch drill","Prove the flip of one tenant's execution to T&G-owned infrastructure, so the escape hatch is real before a client needs it. Must be true first: the server is stable.","Trust, eval & guardrails","Verification","Not started","P3","Unassigned","M","MAR-11","marketingskills/docs/build-plan.md Phase 7"
"MAR-63","Migrate one pilot client off client-hosted onto the platform","The pilot gate: one client running entirely on the hosted platform.","Pilot & GTM","Build","Not started","P1","Unassigned","M","MAR-21","marketingskills/docs/build-plan.md Phase 7"
"MAR-64","Ship the server and onboard client #2","Hypothesis: runs stay isolated under real multi-tenancy. Kill line: not live by month 3, stop.","Pilot & GTM","Commercial","Not started","P1","Unassigned","L","MAR-63","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-65","Land the first paying client at the quoted price","Hypothesis: the ICP pays this price. Kill line: no one pays by month 3, reprice. There are no paying clients yet.","Pilot & GTM","Commercial","Not started","P1","Brig","M","MAR-51","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-66","Close the deal-outcome join","Hypothesis: campaign IDs resolve to deals. Kill line: under 50% resolution by week 12, drop attribution.","Pilot & GTM","Build","Not started","P1","Unassigned","M","MAR-36","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-67","Cut human oversight to two hours or less per client","Hypothesis: golden rows shrink the review queue. Kill line: over 4 hours at month 3, reprice as a service. Oversight is the swing factor in the margin.","Pilot & GTM","Build","Not started","P1","Unassigned","M","MAR-56","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-68","Publishing autonomy","Let the engine publish without a human in the loop, without losing sender-of-record. Must be true first: over 99% on the action.","Pilot & GTM","Build","Not started","P3","Unassigned","L","MAR-67","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-69","Outcome-based pricing pilot","Meter attributed enquiries instead of a flat subscription. Must be true first: attribution is trustworthy.","Pilot & GTM","Commercial","Not started","P3","Unassigned","M","MAR-66","ai-product-strategy/06-the-pitch/roadmap.md"
"MAR-70","Instrument first-pass acceptance and rework rate","Measure the share of assets accepted without edit, per client. M4 sets the target at 70% with a kill criterion below it across two clients; M1 sets rework above 30% on two consecutive clients as a reprice trigger. Nothing currently measures either, so neither kill criterion can fire.","Trust, eval & guardrails","Build","Not started","P1","Unassigned","S","MAR-56","04-the-contract/golden-dataset.md; 01-the-bet/prototype.md (decided in M1/M4, absent from the export)"
"MAR-71","Per-channel restyling in the engine","The Shadow AI audit found operators pasting finished assets into a chatbot to restyle them per channel — recurring, and decided as build rather than partner. Hand-restyling is oversight time, so this feeds the oversight target.","Engine (product)","Build","Not started","P2","Unassigned","S","","05-the-guardrails/compounding-system.md (decided in M5, absent from the export)"
"GTM-1","Quote $2,500 to 3-5 ICP prospects","Put the price in front of real buyers ahead of a signature. Hypothesis: the ICP will pay this price. Kill line: zero verbal yes by month 3, reprice. The leading indicator for MAR-65.","Demand validation","Commercial","Not started","P1","Brig","S","MAR-51","ai-product-strategy/06-the-pitch/roadmap.md (net-new, no repo source)"
"GTM-2","Five ICP discovery calls","Talk to five AU lean marketing teams in the $200K-$1M spend band about the job they would hire for. Tests whether the displaced-hire framing is the one they recognise.","Demand validation","Commercial","Not started","P1","Brig","M","","ai-product-strategy/06-the-pitch/roadmap.md (net-new, no repo source)"
"GTM-3","HubSpot Breeze counter-position","Write the answer to the named competitive risk: what Mariella does that a suite AI attached to their existing CRM does not. The AI eval calls the USP not-landing and nothing in the build backlog addresses it.","Demand validation","Commercial","Not started","P1","Brig","S","","ai-product-strategy/06-the-pitch/roadmap.md (net-new, no repo source)"
"GTM-4","Turn the Wink beta into a reference case","Get the delivered Wink audit on the record as a named reference. Hypothesis: a named reference converts prospects. Kill line: the beta will not go on record, find another reference.","Demand validation","Commercial","Not started","P1","Brig","S","","ai-product-strategy/06-the-pitch/roadmap.md (net-new, no repo source)"
